month,product_name,region,opening_stock_units,received_units,sold_units,closing_stock_units,stockout_days,backorder_units,,
01-01-2023,ANA-01,Central,2892,2315,1860,3347,0,0,,
01-01-2023,ANA-01,East,4254,2461,483,6232,0,0,,
01-01-2023,ANA-01,North,3170,3095,411,5854,0,0,,
01-01-2023,ANA-01,South,1145,3758,1158,3745,3,1,,
01-01-2023,ANA-01,West,3968,3470,396,7042,0,0,,
01-01-2023,ANA-02,Central,5382,3623,777,8228,0,0,,
01-01-2023,ANA-02,East,4790,1775,2750,3815,0,0,,
01-01-2023,ANA-02,North,2268,2314,2352,2230,2,36,,
01-01-2023,ANA-02,South,5070,3234,1545,6759,0,0,,
01-01-2023,ANA-02,West,3867,3751,3979,3639,3,12,,
01-01-2023,ANA-03,Central,2898,3506,357,6047,0,0,,
01-01-2023,ANA-03,East,4605,3480,204,7881,0,0,,
01-01-2023,ANA-03,North,5556,2857,604,7809,0,0,,
01-01-2023,ANA-03,South,5833,2473,148,8158,0,0,,
01-01-2023,ANA-03,West,3046,1766,248,4564,0,0,,
01-01-2023,ANA-07,Central,2795,2851,134,5512,0,0,,
01-01-2023,ANA-07,East,4774,3283,391,7666,0,0,,
01-01-2023,ANA-07,North,2604,2382,71,4915,0,0,,
01-01-2023,ANA-07,South,3177,1997,491,4683,0,0,,
01-01-2023,ANA-07,West,5911,3201,627,8485,0,0,,
01-01-2023,ANA-09,Central,3620,2923,318,6225,0,0,,
01-01-2023,ANA-09,East,523,2380,541,2362,4,14,,
01-01-2023,ANA-09,North,5808,3320,144,8984,0,0,,
01-01-2023,ANA-09,South,306,2200,327,2179,4,7,,
01-01-2023,ANA-09,West,2657,2457,745,4369,0,0,,
01-01-2023,ANA-12,Central,4372,1851,361,5862,0,0,,
01-01-2023,ANA-12,East,3785,3421,57,7149,0,0,,
01-01-2023,ANA-12,North,2471,3705,270,5906,0,0,,
01-01-2023,ANA-12,South,4228,3075,335,6968,0,0,,
01-01-2023,ANA-12,West,5354,4136,141,9349,0,0,,
01-01-2023,ANA-18,Central,4501,2652,1962,5191,0,0,,
01-01-2023,ANA-18,East,5442,2092,556,6978,0,0,,
01-01-2023,ANA-18,North,4669,3565,1386,6848,0,0,,
01-01-2023,ANA-18,South,1040,3262,1081,3221,3,41,,
01-01-2023,ANA-18,West,2964,2583,3006,2541,2,5,,
01-01-2023,ANA-21,Central,2453,3455,776,5132,0,0,,
01-01-2023,ANA-21,East,4112,3268,757,6623,0,0,,
01-01-2023,ANA-21,North,5178,3250,1114,7314,0,0,,
01-01-2023,ANA-21,South,310,4577,354,4533,4,21,,
01-01-2023,ANA-21,West,441,4726,473,4694,3,2,,
01-01-2023,ANA-23,Central,3882,2068,1065,4885,0,0,,
01-01-2023,ANA-23,East,2330,3531,2347,3514,3,12,,
01-01-2023,ANA-23,North,4557,2167,1794,4930,0,0,,
01-01-2023,ANA-23,South,4420,3262,1271,6411,0,0,,
01-01-2023,ANA-23,West,2670,2956,429,5197,0,0,,
01-01-2023,ANT-13,Central,4773,4141,753,8161,0,0,,
01-01-2023,ANT-13,East,3703,3508,109,7102,0,0,,
